# 		eta			F(eta)				F'(eta)				F''(eta)			G(eta)				G'(eta)
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.789062742114889693e-01	1.000000000000000000e+00	-4.995086677853651236e-01
4.000000000000000083e-02	5.325249921605843071e-04	2.636162294684314678e-02	6.393107897424138431e-01	9.800197295233908923e-01	-4.995011933725970743e-01
8.000000000000000167e-02	2.088045621518467947e-03	5.115590778994430488e-02	6.005439601438135044e-01	9.600404954358774390e-01	-4.994496886068289232e-01
1.199999999999999956e-01	4.604549071723498116e-03	7.441657784647157103e-02	5.626349703057460516e-01	9.400648969288060153e-01	-4.993125685641510714e-01
1.600000000000000033e-01	8.021387625674187422e-03	9.617852522515182856e-02	5.256125136392710839e-01	9.200971500693093663e-01	-4.990508994839572554e-01
2.000000000000000111e-01	1.227932863911456937e-02	1.164777717584208894e-01	4.895045383680700080e-01	9.001429686703781297e-01	-4.986284097400557891e-01
2.399999999999999911e-01	1.732060386851484723e-02	1.353514382031175967e-01	4.543380030447455864e-01	8.802094633550531233e-01	-4.980115359828987676e-01
2.800000000000000266e-01	2.308894490434800287e-02	1.528377060747770355e-01	4.201386746511317494e-01	8.603050479484014579e-01	-4.971694606743483624e-01
3.200000000000000067e-01	2.952964072581136523e-02	1.689757517239204310e-01	3.869308065714959222e-01	8.404392894282580739e-01	-4.960741800832558224e-01
3.599999999999999867e-01	3.658956132469749073e-02	1.838056907965966991e-01	3.547369980308254789e-01	8.206228286611138012e-01	-4.947005434178389227e-01
4.000000000000000222e-01	4.421719921837666267e-02	1.973685071799504420e-01	3.235779564653165075e-01	8.008672555183354858e-01	-4.930263041362895060e-01
4.400000000000000022e-01	5.236270246352366792e-02	2.097059715045470341e-01	2.934723030972413160e-01	7.811849906935905974e-01	-4.910321596680263800e-01
4.799999999999999822e-01	6.097790380023022927e-02	2.208605535152104171e-01	2.644363938518967116e-01	7.615891669218642912e-01	-4.887017749294663704e-01
5.200000000000000178e-01	7.001634793637326326e-02	2.308753310071396947e-01	2.364841548111037972e-01	7.420935110275964641e-01	-4.860217991935834592e-01
5.600000000000000533e-01	7.943331277350117181e-02	2.397938863514531005e-01	2.096269516335578231e-01	7.227122239497915102e-01	-4.829818544634851274e-01
5.999999999999999778e-01	8.918582764581826916e-02	2.476602037327823580e-01	1.838734713449818869e-01	7.034598630160564525e-01	-4.795745114716502555e-01
6.400000000000000133e-01	9.923268885187865040e-02	2.545185607355640034e-01	1.592296214064377879e-01	6.843512238085700528e-01	-4.757952527434325396e-01
6.800000000000000488e-01	1.095344663365257210e-01	2.604134135775992287e-01	1.356984797016537458e-01	6.654012263177250253e-01	-4.716423926811175171e-01
7.199999999999999734e-01	1.200535094960645671e-01	2.653892817668844772e-01	1.132802470064276229e-01	6.466248016218195671e-01	-4.671169971332790882e-01
7.600000000000000089e-01	1.307539491798720421e-01	2.694906385688620176e-01	9.197222186766401686e-02	6.280367857562658696e-01	-4.622227843386695900e-01
8.000000000000000444e-01	1.416016916085541810e-01	2.727617901858876981e-01	7.176882170471644840e-02	6.096518149654716057e-01	-4.569659919098608136e-01
8.399999999999999689e-01	1.525644102854497586e-01	2.752467622223156996e-01	5.266161483881377087e-02	5.914842274758422835e-01	-4.513552359500919708e-01
8.800000000000000044e-01	1.636115322122738969e-01	2.769891876993208490e-01	3.463938173771222845e-02	5.735479725762320236e-01	-4.454013529555262418e-01
9.200000000000000400e-01	1.747142200422459324e-01	2.780321953491977638e-01	1.768819902212328404e-02	5.558565238325973157e-01	-4.391172246318423844e-01
9.599999999999999645e-01	1.858453496660198434e-01	2.784183056637921094e-01	1.791542682261129671e-03	5.384228023512465100e-01	-4.325175969696238298e-01
1.000000000000000000e+00	1.969794838463657383e-01	2.781893275095188023e-01	-1.306958565041578882e-02	5.212591048867024623e-01	-4.256188838714176637e-01
1.040000000000000036e+00	2.080928419571421439e-01	2.773862629970386129e-01	-2.691651703226859843e-02	5.043770418185580251e-01	-4.184389690652476346e-01
1.080000000000000071e+00	2.191632660417110190e-01	2.760492176906557682e-01	-3.977275960131684829e-02	4.877874823990968611e-01	-4.109970043020043651e-01
1.120000000000000107e+00	2.301701824124753604e-01	2.742173141615783516e-01	-5.166381873480047765e-02	4.715005072182711365e-01	-4.033131935660561052e-01
1.159999999999999920e+00	2.410945618957058556e-01	2.719286188736744769e-01	-6.261702599069743358e-02	4.555253711422793672e-01	-3.954086007595110641e-01
1.199999999999999956e+00	2.519188754003038322e-01	2.692200721192632429e-01	-7.266134290694735431e-02	4.398704733299921288e-01	-3.873049423010945236e-01
1.239999999999999991e+00	2.626270479148569148e-01	2.661274258207416699e-01	-8.182716630636192867e-02	4.245433340424795698e-01	-3.790243908672110140e-01
1.280000000000000027e+00	2.732044100142244636e-01	2.626851911780443416e-01	-9.014613065076096388e-02	4.095505808139552895e-01	-3.705893893644042203e-01
1.320000000000000062e+00	2.836376466874309665e-01	2.589265918472823946e-01	-9.765090217521692206e-02	3.948979410908959875e-01	-3.620224649540089712e-01
1.360000000000000098e+00	2.939147462576113812e-01	2.548835282724596918e-01	-1.043749895759774754e-01	3.805902420368476591e-01	-3.533460693501718208e-01
1.400000000000000133e+00	3.040249451008398274e-01	2.505865464993072833e-01	-1.103525341533455190e-01	3.666314177990263046e-01	-3.445824090388093230e-01
1.439999999999999947e+00	3.139586751447672186e-01	2.460648175768988810e-01	-1.156181350942964287e-01	3.530245201804758648e-01	-3.357533131779080193e-01
